CUE, TARGET, NORMED?, #G, #P, FSG
AGAIN, ONCE, YES,152,3,0.02
AGAIN, DO, YES,152,2,0.013
AGAIN, NOT, YES,152,2,0.013
AGAIN, NOW, YES,152,2,0.013
AGAINST, FOR, YES,144,45,0.312
AGAINST, ODDS, YES,144,13,0.09
AGAINST, ANTI, NO,144,7,0.049
AGAINST, OPPOSE, NO,144,7,0.049
AGAINST, WITH, YES,144,6,0.042
AGAINST, NO, YES,144,5,0.035
AGAINST, WILL, YES,144,5,0.035
AGAINST, CON, YES,144,4,0.028
AGAINST, FIGHT, YES,144,4,0.028
AGAINST, REBEL, YES,144,4,0.028
AGAINST, ENEMY, YES,144,2,0.014
AGAINST, FORCE, YES,144,2,0.014
AGAINST, LEAN, YES,144,2,0.014
AGAINST, PRO, YES,144,2,0.014
AGAINST, RESIST, NO,144,2,0.014
AGAINST, TOGETHER, YES,144,2,0.014
AGE, OLD, YES,197,77,0.391
AGE, YEAR, YES,197,20,0.102
AGE, YOUNG, YES,197,15,0.076
AGE, TIME, YES,197,9,0.046
AGE, EIGHTEEN, NO,197,5,0.025
AGE, NINETEEN, NO,197,5,0.025
AGE, NUMBER, YES,197,5,0.025
AGE, TWENTY ONE, NO,197,5,0.025
AGE, TWENTY, NO,197,4,0.02
AGE, BIRTHDAY, YES,197,3,0.015
AGE, MATURITY, NO,197,3,0.015
AGE, WISDOM, YES,197,3,0.015
AGE, BEAUTY, YES,197,2,0.01
AGE, DRINKING, NO,197,2,0.01
AGE, ERA, YES,197,2,0.01
AGE, LIMIT, YES,197,2,0.01
AGE, PEOPLE, YES,197,2,0.01
AGE, SEVENTEEN, NO,197,2,0.01
AGE, SEX, YES,197,2,0.01
AGE, WEIGHT, YES,197,2,0.01
AGENCY, COMPANY, YES,148,13,0.088
AGENCY, WORK, YES,148,12,0.081
AGENCY, BUSINESS, YES,148,10,0.068
AGENCY, INSURANCE, YES,148,10,0.068
AGENCY, OFFICE, YES,148,9,0.061
AGENCY, TRAVEL, YES,148,7,0.047
AGENCY, GOVERNMENT, YES,148,6,0.041
AGENCY, PLACE, YES,148,6,0.041
AGENCY, CORPORATION, YES,148,5,0.034
AGENCY, HELP, YES,148,5,0.034
AGENCY, JOB, YES,148,4,0.027
AGENCY, FIRM, YES,148,3,0.02
AGENCY, ADVERTISING, NO,148,2,0.014
AGENCY, BUILDING, YES,148,2,0.014
AGENCY, BUREAU, YES,148,2,0.014
AGENCY, EMPLOYMENT, YES,148,2,0.014
AGENCY, GROUP, YES,148,2,0.014
AGENCY, TALENT, YES,148,2,0.014
AGENCY, TEMPORARY, NO,148,2,0.014
AGENDA, SCHEDULE, YES,147,38,0.259
AGENDA, LIST, YES,147,25,0.17
AGENDA, PLAN, YES,147,21,0.143
AGENDA, CALENDAR, YES,147,5,0.034
AGENDA, MEETING, YES,147,5,0.034
AGENDA, BOOK, YES,147,4,0.027
AGENDA, WORK, YES,147,4,0.027
AGENDA, BUSY, YES,147,3,0.02
AGENDA, AMERICAN, YES,147,2,0.014
AGENDA, ITINERARY, NO,147,2,0.014
AGENDA, ORDER, YES,147,2,0.014
AGENDA, ORGANIZE, YES,147,2,0.014
AGENDA, ROLL, YES,147,2,0.014
AGENDA, THINGS, YES,147,2,0.014
AGENT, FBI, YES,146,18,0.123
AGENT, SECRET, YES,146,17,0.116
AGENT, INSURANCE, YES,146,10,0.068
AGENT, TRAVEL, YES,146,8,0.055
AGENT, UNDERCOVER, NO,146,6,0.041
AGENT, OO7, NO,146,5,0.034
AGENT, FEDERAL, YES,146,4,0.027
AGENT, HELP, YES,146,4,0.027
AGENT, PERSON, YES,146,4,0.027
AGENT, REAL ESTATE, YES,146,4,0.027
AGENT, SPORTS, YES,146,4,0.027
AGENT, ACTOR, YES,146,3,0.021
AGENT, GOVERNMENT, YES,146,3,0.021
AGENT, REPRESENTATIVE, NO,146,3,0.021
AGENT, SPY, YES,146,3,0.021
AGENT, AUTHORITY, YES,146,2,0.014
AGENT, BOND, YES,146,2,0.014
AGENT, DETECTIVE, YES,146,2,0.014
AGENT, MODEL, YES,146,2,0.014
AGENT, MONEY, YES,146,2,0.014
AGENT, OFFICER, YES,146,2,0.014
AGENT, ORANGE, YES,146,2,0.014
AGENT, POLICE, YES,146,2,0.014
AGENT, SALES, YES,146,2,0.014
AGGRAVATE, ANNOY, YES,152,46,0.303
AGGRAVATE, IRRITATE, YES,152,19,0.125
AGGRAVATE, BOTHER, YES,152,13,0.086
AGGRAVATE, MAD, YES,152,13,0.086
AGGRAVATE, ANGER, YES,152,12,0.079
AGGRAVATE, ASSAULT, YES,152,7,0.046
AGGRAVATE, PISS OFF, NO,152,6,0.039
AGGRAVATE, ANGRY, YES,152,5,0.033
AGGRAVATE, FRUSTRATE, YES,152,3,0.02
AGGRAVATE, AGITATE, NO,152,2,0.013
AGGRAVATE, SISTER, YES,152,2,0.013
AGGRESSIVE, MEAN, YES,152,15,0.099
AGGRESSIVE, STRONG, YES,152,12,0.079
AGGRESSIVE, FIGHT, YES,152,8,0.053
AGGRESSIVE, PUSHY, YES,152,7,0.046
AGGRESSIVE, ANGRY, YES,152,6,0.04
AGGRESSIVE, FORCEFUL, YES,152,6,0.04
AGGRESSIVE, PASSIVE, YES,152,6,0.04
AGGRESSIVE, FORWARD, YES,152,4,0.026
AGGRESSIVE, ROUGH, YES,152,4,0.026
AGGRESSIVE, ANGER, YES,152,3,0.02
AGGRESSIVE, SEX, YES,152,3,0.02
AGGRESSIVE, BAD, YES,152,2,0.013
AGGRESSIVE, GIRLS, YES,152,2,0.013
AGGRESSIVE, HIT, YES,152,2,0.013
AGGRESSIVE, MEN, YES,152,2,0.013
AGGRESSIVE, OUTGOING, YES,152,2,0.013
AGGRESSIVE, PERSISTENT, NO,152,2,0.013
AGGRESSIVE, POWERFUL, YES,152,2,0.013
AGGRESSIVE, RUDE, YES,152,2,0.013
AGGRESSIVE, SHY, YES,152,2,0.013
AGONY, PAIN, YES,154,100,0.649
AGONY, DEFEAT, YES,154,17,0.11
AGONY, ECSTASY, YES,154,3,0.019
AGONY, FEAR, YES,154,3,0.019
AGONY, HURT, YES,154,3,0.019
AGONY, MISERY, YES,154,3,0.019
AGONY, HATE, YES,154,2,0.013
AGONY, HEARTACHE, NO,154,2,0.013
AGREE, DISAGREE, YES,144,57,0.393
AGREE, YES, YES,144,14,0.097
AGREE, COMPROMISE, NO,144,4,0.028
AGREE, CONSENT, NO,144,4,0.028
AGREE, COMPLY, NO,144,3,0.021
AGREE, PLEASE, YES,144,3,0.021
AGREE, COINCIDE, NO,144,2,0.014
AGREE, HARMONY, YES,144,2,0.014
AGREE, SAME, YES,144,2,0.014
AGREE, SHAMPOO, YES,144,2,0.014
AGREE, SIMILAR, YES,144,2,0.014
AGREEMENT, DISAGREEMENT, YES,146,24,0.164
AGREEMENT, CONTRACT, YES,146,22,0.151
AGREEMENT, COMPROMISE, NO,146,7,0.048
AGREEMENT, YES, YES,146,7,0.048
AGREEMENT, PACT, NO,146,6,0.041
AGREEMENT, AGREE, YES,146,3,0.021
AGREEMENT, ARGUMENT, YES,146,3,0.021
AGREEMENT, HARMONY, YES,146,3,0.021
AGREEMENT, SETTLEMENT, NO,146,3,0.021
AGREEMENT, BELIEVE, YES,146,2,0.014
AGREEMENT, BET, YES,146,2,0.014
AGREEMENT, COMPLY, NO,146,2,0.014
AGREEMENT, CONSENT, NO,146,2,0.014
AGREEMENT, DOCUMENT, YES,146,2,0.014
AGREEMENT, TOGETHER, YES,146,2,0.014
AGREEMENT, UNDERSTAND, YES,146,2,0.014
AGREEMENT, WRITTEN, NO,146,2,0.014
AGRICULTURE, FARM, YES,152,43,0.283
AGRICULTURE, PLANT, YES,152,25,0.164
AGRICULTURE, LAND, YES,152,8,0.053
AGRICULTURE, CROPS, YES,152,5,0.033
AGRICULTURE, FARMER, YES,152,5,0.033
AGRICULTURE, FOOD, YES,152,5,0.033
AGRICULTURE, GRASS, YES,152,4,0.026
AGRICULTURE, VEGETABLES, YES,152,4,0.026
AGRICULTURE, GREEN, YES,152,3,0.02
AGRICULTURE, COW, YES,152,2,0.013
AGRICULTURE, EARTH, YES,152,2,0.013
AGRICULTURE, ENVIRONMENT, YES,152,2,0.013
AGRICULTURE, FIELD, YES,152,2,0.013
AGRICULTURE, GARDEN, YES,152,2,0.013
AGRICULTURE, GROW, YES,152,2,0.013
AGRICULTURE, MIDWEST, NO,152,2,0.013
AGRICULTURE, ORANGES, NO,152,2,0.013
AGRICULTURE, TREES, YES,152,2,0.013
AHEAD, BEHIND, YES,132,56,0.424
AHEAD, FORWARD, YES,132,18,0.136
AHEAD, FRONT, YES,132,9,0.068
AHEAD, BEFORE, YES,132,8,0.061
AHEAD, GO, YES,132,4,0.03
AHEAD, STRAIGHT, YES,132,3,0.023
AHEAD, BACK, YES,132,2,0.015
AHEAD, BEYOND, YES,132,2,0.015
AHEAD, FAR, YES,132,2,0.015
AHEAD, FUTURE, YES,132,2,0.015
AHEAD, LEAD, YES,132,2,0.015
AHEAD, SIGN, YES,132,2,0.015
AHOY, SHIP, YES,148,39,0.264
AHOY, HELLO, YES,148,20,0.135
AHOY, MATE, YES,148,12,0.081
AHOY, CHIPS, YES,148,9,0.061
AHOY, COOKIES, NO,148,9,0.061
AHOY, CAPTAIN, YES,148,8,0.054
AHOY, BOAT, YES,148,6,0.041
AHOY, HAPPY, YES,148,4,0.027
AHOY, SAILOR, YES,148,4,0.027
